振替日,振替元口座,振替先口座,備考,金額
2021/08/23,みずほ（法人）（API）,現金,,100000
2021/08/19,みずほ（法人）（API）,現金,,100000
2021/08/15,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,250000
2021/08/11,みずほ（法人）（API）,現金,,50000
2021/08/11,みずほ（法人）（API）,現金,,10000
2021/08/10,みずほ（法人）（API）,現金,,1000000
2021/07/29,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,1000000
2021/07/29,現金,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,,1000000
2021/07/29,現金,みずほ（法人）（API）,,768000
2021/07/27,みずほ（法人）（API）,現金,,50000
2021/07/22,みずほ（法人）（API）,現金,,200000
2021/07/20,みずほ（法人）（API）,現金,,100000
2021/07/19,みずほ（法人）（API）,現金,,200000
2021/07/18,みずほ（法人）（API）,現金,,200000
2021/07/15,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/07/12,みずほ（法人）（API）,現金,,200000
2021/07/12,みずほ（法人）（API）,現金,,200000
2021/07/10,みずほ（法人）（API）,現金,,200000
2021/07/10,みずほ（法人）（API）,現金,,200000
2021/07/03,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/07/01,みずほ（法人）（API）,現金,,240000
2021/07/01,みずほ（法人）（API）,現金,,200000
2021/06/28,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,500000
2021/06/15,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,100000
2021/06/14,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/06/13,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,200000
2021/06/08,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,231280円5月分保険料,250000
